canton,provincia,Poblacion total,Superficie (km2),Densidad de poblacion - Personas por km2,Porcentaje de poblacion urbana - Personas que viven en zona urbana por cada 100,Relacion hombres-mujeres - Hombres por cada 100mujeres,Relacion de dependencia demografica - Personas dependientes (menores de 15anhos o de 65y mas) por cada 100personas en edad productiva (15a 64anhos),Viviendas individuales ocupadas,Promedio de ocupantes - Promedio de personas por vivienda individual ocupada,Porcentaje de viviendas en buen estado,Porcentaje de viviendas hacinadas - Viviendas con mas de 3personas por dormitorio por cada cien viviendas ocupadas,Porcentaje de alfabetismo - Personas que saben leer y escribir de cada 100,Porcentaje de alfabetismo - 10a 24anhos,Porcentaje de alfabetismo - 25y mas anhos,Escolaridad promedio - Promedio de anhos aprobados de educacion regular,Escolaridad promedio - 25a 49anhos,Escolaridad promedio - 50o mas anhos,Porcentaje de asistencia a la educacion regular,Porcentaje de asistencia a la educacion regular - Menor de 5anhos,Porcentaje de asistencia a la educacion regular - 5a 17anhos,Porcentaje de asistencia a la educacion regular - 18a 24anhos,Porcentaje de asistencia a la educacion regular - 25y mas anhos,Personas fuera de la fuerza de trabajo (15anhos y mas),Tasa neta de participacion - Personas en la fuerza de trabajo (ocupadas y desocupadas) por cada 100personas de 15anhos y mas,Tasa neta de participacion - Hombres,Tasa neta de participacion - Mujeres,Porcentaje de poblacion ocupada no asegurada,Porcentaje de poblacion nacida en el extranjero,Porcentaje de poblacion con discapacidad,Porcentaje de poblacion no asegurada,Porcentaje de hogares con jefatura femenina,Porcentaje de hogares con jefatura compartida
ABANGARES,GUANACASTE,18039,675.8,27,30.4,99.9,51.4,5311,3.39,49.7,5.4,95.5,98.8,93.8,6.8,7.7,5.2,30.3,9.5,85.4,35.1,4.8,52.9,47.1,69.6,25,21.8,3.7,12,19.2,26.7,6.6
TILARAN,GUANACASTE,19640,638.4,31,50.7,98.3,52.9,6018,3.26,65.9,2.5,96.4,99.2,95,7.3,8.3,6,32.2,15,90.2,45.7,6.2,51.4,48.6,71.5,26.5,16.7,5.7,11.7,13.7,24.8,9.5
NANDAYURE,GUANACASTE,11121,565.6,20,20.7,104,51.2,3307,3.35,50.7,3.7,96.2,99.3,94.7,6.7,7.7,5.2,31.2,10.7,87.3,45.1,5.4,57.8,42.2,63.1,20.8,18.1,3.2,13.9,14.9,23.8,11.2
LA CRUZ,GUANACASTE,19181,1383.9,14,37.1,96.9,59.3,4732,4.05,41.6,10.7,93.8,98.6,90.5,6.2,7.1,4.5,34.9,6.2,82.7,34,6.6,54.6,45.4,68.7,23,32.1,18.2,9.4,30,27.6,7.3
HOJANCHA,GUANACASTE,7197,261.4,28,24.3,103.2,48.5,2028,3.55,58.1,3,96.5,99.5,95,7.2,8.3,5.5,33.3,8.6,88.5,58.3,6.4,56.2,43.8,63.6,23.3,17.7,2.6,12.6,12.7,24.4,9.3
PROVINCIA,HEREDIA,433677,2657,163,86,95,42.9,122410,3.5,73.9,3.9,98.4,99.3,97.9,9.8,10.4,8.5,99999,18.2,89.7,49.9,9.3,42.7,57.3,73.7,42.1,10.8,10,10,11.6,30,9.3
HEREDIA,HEREDIA,123616,282.6,437,99.7,90.3,40.8,35216,3.5,78.2,3.9,99.1,99.5,98.9,10.6,11.2,9.4,34.1,19.7,91.3,54.2,10.6,41.1,58.9,73.1,46.5,9.2,11.3,10.5,10.5,34.9,9.2
BARVA,HEREDIA,40660,53.8,756,91,95.7,40.7,11291,3.59,78.6,2.4,98.9,99.5,98.6,10.1,10.9,8.8,32.9,19.2,88.5,50.7,9.5,42.2,57.8,74.7,42,10,5.4,9.5,9.6,27.4,9.5
SANTO DOMINGO,HEREDIA,40072,24.8,1613,100,94.6,41.3,11496,3.48,77.6,2.9,99.1,99.4,98.9,10.4,11.2,9.2,32,23.8,91.2,56.4,9.6,42.9,57.1,72.4,43,9.9,7.7,9.8,9.3,30.4,10.1
SANTA BARBARA,HEREDIA,36243,53.2,681,87.8,97.3,43.4,10107,3.58,76.4,2.9,98.5,99.4,98.1,8.8,9.6,7.2,33.3,15.8,90.8,46.3,8.6,43.6,56.4,75.6,38,11.7,6.8,9.7,11.4,24.6,8
